fullname,weight,italics
Roboto Condensed Light ,300,
Roboto Light ,300,
Rokkitt Light ,300,
Muli  ,,
Marvel Bold ,700,
Signika Light ,300,
Cabin Condensed Medium ,500,
Roboto  ,,
Archivo Narrow  ,,
Roboto Condensed  ,,
Open Sans Condensed Light ,300,
Amethysta  ,,
Dosis Light ,300,
Neuton Light ,300,
Muli Light ,300,
Rokkitt  ,,
Tinos  ,,
Tenor Sans  ,,
Inconsolata  ,,
GFS Didot  ,,
Gentium Basic  ,,
Strait  ,,
Cabin Condensed  ,,
PT Sans Caption  ,,
Oswald  ,,
Enriqueta  ,,
Asap  ,,
Ropa Sans  ,,
Source Sans Pro Semibold ,600,
Source Sans Pro Light Italic,300,italic
Ubuntu Condensed  ,,
Titillium Web Light Italic,300,italic
Old Standard TT  ,,
Anonymous Pro  ,,
Source Code Pro Light ,300,
Francois One  ,,
Merriweather  ,,
Rambla  ,,
Arimo Bold ,700,
Fenix  ,,
Roboto Black ,900,
Crimson Text Semibold ,600,
Oranienbaum  ,,
Istok Web Bold ,700,
Voltaire  ,,
Telex  ,,
Philosopher  ,,
Raleway Semibold ,600,
Goudy Bookletter 1911  ,,
Puritan  ,,
Advent Pro Semibold Italic,600,italic
IM Fell French Canon  ,,
Oswald Bold ,700,
Lekton  Italic,400,italic
Buenard Bold ,700,
Chivo  Italic,400,italic
Tinos Bold ,700,
Lato  Italic,400,italic
Roboto Medium Italic,500,italic
GFS Neohellenic  Italic,400,italic
Gentium Basic Bold ,700,
Signika Semibold ,600,
Raleway Bold ,700,
Marvel Bold Italic,700,italic
Jura Light ,300,
Bentham  ,,
Share Bold Italic,700,italic
Nobile Medium Italic,500,italic
Share Bold ,700,
Headland One  ,,
Cabin Semibold Italic,600,italic
Josefin Sans  Semibold Italic,600,italic
Acme  ,,
Share Tech  ,,
Cantora One  ,,
Titillium Web Black ,900,
Rosario Bold ,700,
Source Code Pro Extra Light ,200,
Oldenburg  ,,
Economica  Italic,400,italic
Arimo Bold Italic,700,italic
Quattrocento Sans  ,,
Lato Bold Italic,700,italic
Averia Libre Light Italic,300,italic
IM Fell English  ,,
Magra Bold ,700,
Arvo  Italic,400,italic
Merriweather Bold ,700,
Life Savers  ,,
Nanum Gothic Coding Bold ,700,
Bubbler One  ,,
Ubuntu Mono  Italic,400,italic
Nobile Medium ,500,
Maven Pro Black ,900,
Source Code Pro Black ,900,
Averia Sans Libre  Italic,400,italic
Wellfleet  ,,
Overlock  Italic,400,italic
Rationale  ,,
Arvo Bold ,700,
Lato Black Italic,900,italic
Just Another Hand  ,,
Bevan  ,,
Bowlby One SC  ,,
Ubuntu Mono Bold ,700,
Trochut  ,,
Ubuntu  Italic,400,italic
Fredoka One  ,,
Fanwood Text  ,,
Racing Sans One  ,,
Iceland  ,,
Stardos Stencil Bold ,700,
Asset  ,,
Kelly Slab  ,,
Titan One  ,,
Press Start 2P  ,,
Sigmar One  ,,
Ranchers  ,,
Averia Serif Libre  Italic,400,italic
Nova Round  ,,
Aldrich  ,,
Allerta Stencil  ,,
Playfair Display Black ,900,
Cardo  Italic,400,italic
Gentium Basic Bold Italic,700,italic
Milonga  ,,
Simonetta  ,,
Paprika  ,,
Arvo Bold Italic,700,italic
Syncopate Bold ,700,
PT Serif Bold Italic,700,italic
Trochut  Italic,400,italic
Modern Antiqua  ,,
Orbitron Medium ,500,
Black Ops One  ,,
Megrim  ,,
Cantarell Bold Italic,700,italic
Smokum  ,,
Satisfy  ,,
Montez  ,,
Redressed  ,,
Alegreya Bold Italic,700,italic
Crimson Text Bold Italic,700,italic
Rosarivo  Italic,400,italic
Sacramento  ,,
Eagle Lake  ,,
Niconne  ,,
Orbitron Black ,900,
Kenia  ,,
Emblema One  ,,
Lora Bold Italic,700,italic
Playfair Display  Italic,400,italic
Julee  ,,
Parisienne  ,,
Original Surfer  ,,
Damion  ,,
Slackey  ,,
Sevillana  ,,
Lobster Two  Italic,400,italic
Marck Script  ,,
Bad Script  ,,
Frijole  ,,
Clicker Script  ,,
Finger Paint  ,,
Bilbo Swash Caps  ,,
Arizonia  ,,
Great Vibes  ,,
Lobster  ,,
Passero One  ,,
Playfair Display SC Bold Italic,700,italic
Sonsie One  ,,
Astloch Bold ,700,