name,weight,italics,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Milonga,,,32.41,64.18,57.38,73.51,14.59,30.42,80.61,80.3,13.06,49.63,4.74,52.57,33,6.64,57.94,67.92,94.4,85.8,93.76,81.23,68.77,9.37,92.41,61.53,52.1,48.57,81.83,72.79,61.74,80.62,53.53,64.64,55.96,70.3,53.13
Modern Antiqua,,,39.37,41.71,47.26,63.32,20.06,38.43,76.61,77.32,37.31,46.47,4.36,41.77,39.44,11.96,62.36,68.34,92.55,66.25,92.43,71.37,60.24,9.43,83.38,56.79,44.72,58.8,86.07,72.14,40.22,75.29,55.43,49.74,52.29,71.61,54.09
Montez,,,65.72,87.9,47.76,67.24,49.39,31.45,73.14,90.27,66.21,87.03,78.94,69.08,66.59,20.11,68.06,34.57,65.1,69.93,86.89,67.92,66.56,9.9,22.86,81.23,66.11,53.07,11.51,60.67,60.18,100,10.32,65.09,79.23,39.6,28.62
Muli,,,27.41,10.61,23.43,43.18,20.83,59.61,89.92,52.18,7.98,1.65,4.3,39.73,16.37,6.93,10.45,82.64,91.17,78.71,90.6,55.9,36.96,9.35,89.51,21.97,12.11,16.44,9.23,79.75,13.47,86.11,52.4,1.43,57.19,51.7,49.84
Muli,300,,35.11,9.76,19.68,28.4,17.29,72.03,92.81,53.96,12,3.88,4.3,42.34,16.64,8.04,18.33,80.8,89.46,74.55,89.56,44.85,23.25,9.34,77.79,18.04,7.97,10.62,9.7,76.19,16.95,92.47,30.49,0,69.5,33.36,49.94
Nanum Gothic Coding,700,,20.92,38.91,45.75,51.22,32.44,71.55,73.29,61.44,46.83,38.89,4.45,36.04,40.3,9.43,42.87,61.49,86.33,66.02,74.51,56.92,40.69,9.34,67.82,39.7,43.79,43.84,10.2,46.92,23.43,62.05,60.88,42.29,30.72,70.56,47.06
Neuton,300,,24.69,26.99,24.15,38.78,8.96,57.61,91.75,58.38,5.3,23.56,4.24,50.05,9.68,5.01,18.07,87.95,87.67,76.73,96.99,58.26,41.48,9.35,83.7,33.06,21.7,22.92,87.8,84.29,22.42,91.71,39.92,25.99,72.78,43.61,42.72
Niconne,,,64.51,77.67,62.51,89.45,27.98,15.8,77.39,98.24,46.22,63.57,81.75,73.69,40.18,69.75,70.73,55.04,90.58,100,93.33,100,80.32,92.02,60.47,83.09,76.32,74.52,10.43,73.37,56.88,89.24,37.58,76.15,72.83,68.91,27.91
Nobile,500,,23.62,19.51,53.72,55.42,24.4,49.65,67.44,63.29,27.73,34.22,4.3,36.57,21.1,11.55,43.72,81.89,90.82,73.07,82.69,55.8,47.23,9.34,91.88,42.96,31.43,39,9.18,71.52,20.65,66.22,70.41,30.12,29.79,80.6,57.09
Nobile,500,i,49.54,29.31,47.66,60.96,21.29,44.51,76.28,63.46,26.66,25.81,4.23,43.39,29.42,11.14,36.57,77.57,90.76,83.9,91.32,64.8,63.68,91.73,89.12,43.62,29.81,33.19,9.64,77.07,47.45,81.13,57.51,31.55,47.86,71.15,49.65
Nova Round,,,37.87,40.85,48.42,52.44,36.05,53.86,78.45,67.1,37.91,42.95,4.3,46.12,44.81,15.52,56.48,63.86,83.38,67.4,82.03,66.72,54.93,9.34,72.88,34.07,48.64,37.51,6.69,60.21,36.04,78.08,51.52,43.77,52.62,63.82,49.12
Oldenburg,,,37.87,36.45,49.18,70.22,28.91,46.07,83.61,71.5,20.02,45.44,7.05,40.17,20.52,7.17,39.77,68.97,91.42,80.06,89.66,69.3,56.73,8.89,84.05,52.55,42.49,42.3,83.85,62.14,32.62,79.36,59.64,66.59,51.71,67.86,56.74
Old Standard TT,,,30.56,37.58,34.12,49.21,6.66,55.37,83.43,68.74,0.19,16.32,4.24,64.44,19.13,7.55,25.11,84.41,87.68,73.32,97.1,62.38,43.59,9.34,86.23,36.02,21.73,24.55,87.33,86.18,18.59,87.22,42.53,35.03,65.96,50.94,43.63
Open Sans Condensed,300,,21.35,19.31,9.21,17.06,27.05,83.88,96.22,43.8,22.72,15.19,4.3,47.97,16.51,5.78,16.02,84.75,71.11,74.23,91.08,46.86,27.59,9.32,76,26.75,25.09,6,9.23,76.94,31.74,94.81,28.67,30.01,75.35,18.64,24.97
Oranienbaum,,,27.11,36.24,23.42,42.98,14.6,35.55,86.47,61.64,15.78,22.82,4.24,53.66,16.54,6.91,28.82,86.07,93.06,76.91,97.12,64.39,47.5,9.36,83.23,39.42,22.51,31.45,86.74,86.59,15,82.59,44.8,32.07,72.15,60.08,39.26
Orbitron,900,,48.16,50.87,64.29,60.29,70.54,70.53,42.19,49.66,58.87,72.2,4.3,16.14,57.06,73.85,72.14,35.06,75.09,39.11,68.43,37.32,23.54,9.34,52.37,59.59,56.21,58.37,10.11,58.06,29.24,30.36,76.43,67.64,15.32,63.18,66.24
Orbitron,500,,48,48.5,58.72,60.29,74.16,81.29,52.52,44.86,55.32,55.47,4.3,27.78,46.41,70.8,63.19,40.6,72.68,38.11,70.54,43.35,23.34,9.34,50.43,52.49,55.82,57.54,10.25,66.06,29.52,49.79,66.63,76.66,34.08,59.28,65.49
Original Surfer,,,39.99,63.81,61.73,76.13,27.44,37.71,74.68,73.75,50.94,40.79,3.52,45.18,41.61,60.55,76.02,49.16,94.22,76.62,90.06,69.12,77.08,9.34,81.18,58.07,64.06,59.08,15.16,54.48,37.84,76.9,56.76,52.59,42.53,81.31,49.99
Oswald,700,,3.98,27.86,59.32,45.51,43.79,69.78,60.57,48.81,35.36,37.02,4.3,27.08,18.89,11.09,32.94,68.25,71.49,48.45,74.89,49.5,42.69,9.3,73.16,27.96,26.26,47.53,8.94,53.21,16.86,52.53,76.38,55.86,19.94,66.41,49.51
Oswald,,,35.55,17.86,54.5,56.65,30.59,44.92,67.21,56.37,34.4,36.31,4.3,37.28,23.81,14.35,21.77,65.8,85.78,65.06,77.24,50.45,40.33,9.34,79.04,48.39,21.85,49.8,9.06,71.65,18.55,59.53,69.83,56,33.24,68.61,40.26
Overlock,,i,51.87,45.29,40.31,55.11,24.67,30.62,92.53,76.69,25.42,32.02,4.35,49.96,29.13,5.89,46.24,69.89,86.02,87.19,93.72,72.86,50.2,91.5,77.08,56.14,50.42,26.27,9.05,76.69,51.58,97.42,36.49,52.96,68.64,57.01,39.59
Paprika,,,73.27,67.21,69.21,74.37,21.84,25.84,67.65,88.86,38.27,39.73,4.23,54.36,38.1,10.7,59.67,53.67,90.74,83.91,87.67,72.73,69.58,91.24,78.8,81.75,74.49,48.21,15.77,81.01,69.22,73.84,56.6,59.7,44.72,83.98,55.89
Parisienne,,,92.17,93.23,56.41,78.74,41.38,14.77,67.7,85.3,55.09,76.3,84.74,63.05,68.13,75.95,75.35,47.84,81.58,86.46,87.86,86.61,80.16,91.92,48.5,88.83,86.13,68.35,8.18,63.07,71.84,91.55,20.2,49.12,80.31,51.21,26.35
Passero One,,,70.4,80.44,57.68,54.4,51.1,57.18,47.29,63.93,54.97,76.05,4.3,39.22,58.85,66.93,86.77,26.45,80.9,50.13,67.03,32.13,49.08,9.34,39.84,66.63,77.65,49.39,7.79,37.56,46.57,46.99,62.18,66.47,33.13,62.6,41.75
Philosopher,,,48.24,33.12,35.86,61.23,13.8,54.3,95.1,68.1,16.51,28.91,4.24,44.82,29.33,7.03,30.01,81.39,87.5,74.52,94.86,72.34,46.73,9.36,81.72,39.85,42.71,34.32,15.91,86.79,28.34,92.59,44.49,31.74,57.38,59.12,46.05
Playfair Display,900,,28.91,41.67,70.43,81.83,34.85,39.77,51.41,72.75,30.49,51.09,4.24,29.46,17.27,5.91,57.36,74.6,86.89,67.15,92.02,70.42,43.73,9.36,85.42,63.65,23.61,64.1,87.86,67.3,23.72,45.27,82.41,71.41,18.26,78.04,65.6
Playfair Display,,i,79.21,79.31,54.1,85.82,29.42,15.98,73.98,93.32,37.27,70.07,7.73,62.2,31.55,63.18,74.75,56.81,89.04,78.82,98.55,86.36,67.97,91.88,64.69,82.09,76.86,78.45,84.69,68.02,64.04,80.06,43.52,85.16,66.67,65.88,45.85
Playfair Display SC,700,i,76.59,85.87,88.87,96.85,60.62,15.01,36.02,77.15,54.48,91.86,81.77,40.13,50.17,66.38,91.05,29.94,78.74,73.57,84.13,65.86,78.47,91.28,48.38,100,71.45,100,87.91,60.65,61.21,39.96,67.42,96.92,24.86,77.03,73.52
Press Start 2P,,,23.42,45.51,54.64,18.53,96.2,94.52,0,24.27,92.68,82.39,5.7,1.71,74.9,74.96,55.23,0.52,0,0,0,2.59,0,9.3,22.37,24.24,55.94,52.34,83.44,0,37.68,25.15,64.26,49.53,19.6,68.83,97.66
PT Sans Caption,,,18.05,17.87,39.33,51.06,19,39.55,90.13,65.72,12.51,11.89,4.3,42.96,18.72,10.59,21.19,90.81,92.96,72.04,90.95,56.68,38.37,9.34,97.25,25.86,21.07,29.42,9.79,59.91,17.72,75.59,54.12,13.37,51.43,67.23,57.54
PT Serif,700,i,81.67,56.04,70.71,84.77,23.27,11.67,71.72,88.22,28.76,49.97,4.49,40.6,27.17,8.71,62.02,75.49,96.74,83.06,88.35,91.39,65.47,91.35,90.2,67.53,54.89,63.69,86.66,99.92,51.57,66.52,63.82,60.84,27.76,87.06,54.94
Puritan,,,24.18,26.78,46.58,57.77,15.67,47.82,81.26,65.06,17.74,25.75,4.3,38.36,16.48,8.68,31.05,82.45,90.85,78.2,87.83,64.15,47.15,9.34,86.36,48.94,24.1,37.75,9.1,71.22,25.09,71.01,60.38,29.18,42.86,65.58,43.77
Quattrocento Sans,,,63.92,35.07,35.37,48.88,28.37,50.2,89.7,70.02,21.04,20.73,4.23,46.21,28.31,7.62,40.66,71.8,84.53,77.95,92.38,64.29,54.86,91.76,82.51,43.79,25.44,19.01,10.88,83.23,53.71,93.34,36.76,18.45,73.88,50.72,47.36
Racing Sans One,,,75.24,39.84,72.75,77.19,39.95,31.54,63.94,71.46,46.67,46.33,4.67,36.65,31.63,8.23,52.59,58.59,85.26,66.2,81.8,66.94,55.93,91.69,80.08,53.45,41.23,60.79,11.65,57.41,64.6,54.99,92.12,53.84,9.88,89.4,56.38
Raleway,700,,17.72,21.77,59.19,66.89,23.23,61.13,68.49,59.81,19.63,26.08,4.3,29.6,25,6.57,35.01,76.61,94.12,78.87,85.52,66.99,53.44,9.35,96.36,36.33,29.68,47.66,9.19,50.57,11.73,63.29,72.27,36.34,26.81,74.81,57.64
Raleway,600,,1.87,22.04,50.82,62.99,16.07,53.87,76.85,60.29,15.11,22.18,4.3,33.25,19.26,6.89,30.3,76.34,93.38,76.83,85.73,66.4,44.98,9.35,91.65,37.61,17.99,24.25,9.33,74.61,18.79,72.2,63.96,28.43,40.67,85.5,53.45
Rambla,,,21.6,14.59,35.95,48.85,17.83,49.53,85.78,55.6,18.12,19.49,4.3,37.86,13.35,9.11,28.51,72.03,90.11,78.42,87.52,56.24,40.46,9.34,86.34,43.33,31.87,38.28,9.73,63.43,13.1,74.04,51.85,24.98,51.77,53.82,43.61
Ranchers,,,30.88,56.72,66.89,58.14,61.4,66.21,33.83,55.13,63.8,55.45,3.58,9.63,68.99,61.16,55.97,40.28,81.1,48.87,61.53,36.23,52.36,9.32,51.48,43.24,49.76,51.01,8.65,46.2,36.44,46.12,74.47,33.45,12.86,74.63,49.41
Rationale,,,43.45,47.07,30.46,38.25,50.22,61.49,70.29,39.09,36.64,39.21,4.3,41.99,27.84,13.48,47.04,63.49,79.9,62.88,85.01,48.6,21.46,9.34,48.85,62.32,37.35,22.89,10.01,73.17,28.84,71.33,43.22,69.1,61.38,51.7,37.23
Redressed,,,45.26,81.28,51.94,66.46,21.28,31.34,78.57,87.74,37.64,58.67,4.47,62.13,38.78,72.69,68.66,67.3,95.2,80.13,87.94,78.76,79.35,9.4,53.6,72.16,69.88,55.81,13.94,70.8,56.44,87.02,41.57,81.85,63.75,71.84,32.92
Roboto,900,,14.98,22.07,60.17,53.8,23.8,52.33,66.89,57.47,24.48,20.64,4.3,25.2,19.02,6.45,28.79,79.64,86.4,63.43,82.8,61.7,42.48,9.34,94.22,27.9,13.51,51.01,9.63,63.35,11.68,56.89,77.71,27.45,17.44,81.95,55.52
Roboto,300,,22.21,4.21,14.18,30.76,15.75,70.79,94.54,50.2,3.01,0,4.3,48.57,12.02,5.55,6.94,80.86,87.19,68.56,91.26,39.99,35.32,9.34,86.78,15.71,7.85,8.97,10.2,77.69,14.84,92.27,33.73,0.68,77.65,50.37,48.24
Roboto,500,i,55.15,33.6,56.53,64.29,17.7,29.88,77.69,71.88,15.36,24.46,4.23,40.76,18.15,6.36,34.36,78.32,92.26,81.54,89.96,74.36,54.3,91.73,96.86,46.81,27.12,50.99,9.63,81.81,45.59,72.18,61.65,29.1,40.71,77.91,53.51
Roboto,,,8.36,7.23,38.86,53.05,14.22,50.12,84.04,61.29,5.53,12.49,4.3,35.79,10.77,7.46,14.72,82.16,88.88,73.38,91.89,59.67,33.95,9.34,93.46,20.14,0,24.39,9.88,76.58,14.1,79.43,53.64,17.55,47.99,58.73,53.45
Roboto Condensed,300,,4.87,14.21,15.17,37.13,23.21,68.99,99.97,48.67,6.13,5.21,4.3,47.61,18.53,5.38,0,84.82,83.88,64.67,92.48,46.54,23.42,9.32,82.83,24.17,6.42,9.43,10.36,77.71,19.56,91.63,34.03,19.84,76.14,38.04,32.29
Roboto Condensed,,,19.45,15.1,40.72,52.43,17.6,43.34,84.95,61.97,10.22,7,4.3,39.07,11.54,7.3,15.95,78.76,88.8,75.4,91.97,64.8,41.24,9.34,88.3,36.25,14.66,31.28,9.88,72.18,13.16,77.84,57.5,22.01,46.88,60.72,42.77
Rokkitt,,,23.78,21.08,31.91,52.17,17.65,47.17,98.76,62.79,4.56,17.01,4.3,44.14,9.28,9,19.65,86.94,89.7,72.08,98.68,60.84,39.17,9.34,76.82,28.24,18.73,30.23,81.9,78.71,13.48,82.6,40.07,25.51,61.65,54.95,44.6
Rokkitt,300,,24.64,19.57,16.6,34.53,29.22,70.62,96.55,48.98,0,15.13,4.27,45.21,11.97,9,9.69,90.76,67.75,60.62,96.62,53.27,33.35,9.34,73.34,17.45,19.48,13.15,81.73,79.1,16.8,95.07,15.95,19.44,88.22,15.84,45.27
Ropa Sans,,,22.83,21.78,34.77,36.49,22.11,57.74,88.17,53.89,19.47,16.41,4.3,40.88,17.96,8.28,23.72,65.54,86.73,71.89,89.34,56.28,34.9,9.34,82.23,26.81,19.25,14.58,9.88,80.15,20.35,77.37,46.32,21.44,58.17,53.14,40.9
Rosario,700,,21.43,33.05,54.31,60.53,22.14,36.27,70.2,61.14,29.1,34.35,4.3,31.26,13,7.71,39.39,73.29,91.72,77.49,87.21,65.02,49.22,9.36,82.92,46.23,23.73,44.94,9.47,55.03,17.43,63.53,63.15,34.8,35.91,75.56,46.83
Rosarivo,,i,84.26,74.72,52.98,71.88,22.2,12.87,85.16,88.75,33.81,51.17,5.9,64.92,35.57,13.56,69.29,77.63,88.24,84.88,95.36,75.82,65.92,91.66,80.33,63.01,68.17,61.81,84.08,91.64,50.55,86.15,43.15,69.51,65.99,67.05,45.24
Sacramento,,,63,79.3,36.88,75.53,43,26.87,72.95,71.82,75.78,82.69,83.99,59.57,72.53,13.39,69.53,34.05,82.54,68.49,86.51,70.8,63,91.51,25.55,75.42,89.17,49.81,10.47,49.4,60.92,86.07,4.79,68.54,92.66,59.47,23.09
Satisfy,,,74.23,88.77,59.42,81.95,21.4,31.73,71.68,88.35,54.41,70.83,83.43,68.29,57.34,70.59,67.06,49.82,84.57,88.59,89.86,85,92.44,91.61,58.14,84.56,77.86,73.55,12.64,71,71.47,80.86,25.19,63.76,70.04,56.46,34.55
Sevillana,,,68.08,72.84,53.97,73.61,48.76,57.36,71.46,82.83,62.11,85.61,84.26,60.62,58.14,9.37,77.32,35.84,82.51,87.28,81.12,65.75,70.62,9.74,42.27,81.7,93.49,60.3,13.03,44.21,64.72,81.11,29.45,69.98,83.22,62.14,21.98
Share,700,i,60.5,31.75,58.68,57,23.45,41.24,70.22,69.19,37.43,29.56,4.23,34.49,19.11,7.45,36.46,67.59,89.6,80.1,85.97,71.29,42.9,91.69,81.15,47.99,33.57,51.6,9.63,62.32,45.81,54.95,66.64,30.7,27.45,81.06,45.93
Share,700,,32.67,29.24,59.22,60.25,14.78,51.81,70.07,59.28,34.94,29.84,4.3,32.16,17.48,7.97,36.65,60.24,90.18,73.35,86.37,58.7,35.44,9.34,78.88,44.55,32.81,46.26,9.63,58.52,18.06,55.27,68.44,38.99,30.36,73.39,45.7
Share Tech,,,42.39,33.32,36.9,36.21,28.76,67.24,85.25,58.7,23.17,26.3,4.3,42.61,20.91,7.97,38.58,59.97,80.85,65.16,90.66,48.18,24.5,9.34,75.25,50.8,30.76,35.73,9.88,59.93,20.99,73.37,46.87,34.57,58.71,51.97,37.95
Sigmar One,,,41.02,36.93,85.92,45.45,56.69,75.85,37.49,55.89,45.94,64.11,4.31,0,52.22,14.44,55.78,33.83,70.3,58.22,63.5,26.04,19.75,9.3,60.71,38.84,38.17,58.07,17.12,39.22,22.21,22.27,90.54,48.98,9.36,72.57,73.43
Signika,300,,23.61,19.71,33.56,37.98,23.32,53.16,92.33,57.89,8.66,7.06,4.3,47.55,12.45,7.85,11.88,88.09,87.03,70.71,92.12,50.28,32.76,9.32,81,27.3,18.96,7.63,10.06,73.94,24.48,88.71,32.88,22.4,61.05,51.55,41.57
Signika,600,,21.35,23.4,57.49,58.81,13.71,48.53,70.5,64.13,17.57,22.49,4.3,41.87,12.99,7.46,34.85,86.03,92.9,76.66,86.91,67.57,41.28,9.32,91.69,43.56,24.54,39.93,9.33,61.59,19.6,62.86,64.16,31.67,31.2,78.97,47.41
Simonetta,,,55.02,64.35,70.02,74.68,29.29,28.6,63.66,78.98,43.91,56.29,4.5,40.99,32.87,6.57,58.63,63.03,91.79,78.37,80.07,76.22,60.57,11.2,74.89,64.51,52.41,52.83,83.46,58.67,44.76,59.22,70.35,53.56,20.83,91.94,49.04
Slackey,,,54.85,73.81,86.28,69.42,64.82,88.31,52.21,58.4,63.23,85.29,3.37,12.41,93.54,71.79,76.76,22.88,75.68,49.1,55.69,48.57,55.83,9.36,38.38,51.93,76.36,59.79,10.63,15.48,54.2,36.83,73.72,74.5,15.74,71.93,68.8
Smokum,,,58.97,60.13,51.52,37.74,62.3,79.09,53.02,50.8,59.22,90.26,4.3,32.11,59.67,67.73,65.07,42.23,59.3,43.35,51.84,31.15,40.17,9.34,16.36,57.53,55.99,46.03,82.14,48.75,38.51,44.7,47.86,70.5,48.4,54.36,31.2
Sonsie One,,,70.7,95.02,100,73.72,53.71,55.21,46.52,76.12,75.62,93.55,81.86,27.8,63.98,75.98,91.06,52.94,77.27,64.05,82.85,76.26,66.68,91.45,58.5,73.32,68.66,83.77,79.76,32.01,77.05,40.21,77.7,66.98,5.03,84.61,75.91
Source Code Pro,900,,24.33,41.41,60.39,59.25,35.39,66.54,57.52,57.68,49.79,52.37,4.45,29.13,39.04,7.54,44.23,61.56,83.37,72.32,76.46,52.17,42.98,9.31,63.91,36.91,42.31,44.97,11.45,50.36,33.16,59.81,76.32,60.02,22.73,81.94,64.03
Source Code Pro,200,,56.23,22.21,7.63,11.74,62.39,96.57,76.27,28.6,25.09,19.8,4.3,38.92,44.91,10,39.7,48.53,66.99,44.83,81.17,22.74,3.07,9.37,41.4,0,16.9,11.91,9.96,60.81,28.59,86.31,7.57,9.94,94.47,27.76,56.95
Source Code Pro,300,,37.96,22.07,0,5.34,62.09,94.33,86.11,34.33,23.75,21.43,4.3,27.62,38.5,7.1,26.55,71.34,67.54,46.31,84.11,23.38,9.37,9.34,58.87,19.05,24.01,12.69,10.26,68.76,27.24,89.22,13.8,21.96,95.29,24.98,55.97
Source Sans Pro,300,i,58.27,33.14,19.58,2.23,30.3,71.25,91.42,45.01,23.75,27.37,4.23,47.72,27.66,6.92,24.28,62.89,82.42,69.99,92.33,42.4,39.13,91.76,68.81,34.05,28.51,0,9.9,72.87,53.48,88.28,22.35,25.68,89.55,41.33,39.09
Source Sans Pro,600,,20.38,9.95,52.45,53.72,14.4,33.12,78.52,59.1,16.08,12.95,4.3,37.03,12,7.85,24.14,93.53,92.23,81.82,90,57.57,45.54,9.32,86.79,34.21,16.13,25.53,9.77,72.02,17.43,68.31,60.61,31.34,40.61,71.26,49.37
Stardos Stencil,700,,41.25,42.29,66.84,77.41,30.67,40.96,64.26,72.75,28.83,55.68,5.09,35.37,33.53,17.56,53.77,68.96,85.99,77.63,86.25,73.39,51.52,9.35,77.1,65.45,46.55,55.79,75.96,47.86,19.11,43.65,64.39,65.05,31.44,75.97,56.59
Strait,,,31.66,21.91,31.17,36.27,39.53,58.57,85.68,61.62,22.05,13.28,4.3,40.96,19.31,8.28,20.55,71.81,81.48,65,88.06,44.1,32.98,9.32,83.18,34.67,23.37,35.13,9.88,67.15,19.6,76.62,45.87,35.37,60.14,43.02,38.26
Syncopate,700,,22.51,36.92,76.29,46.09,67.9,88.69,44.77,55.9,46.83,52.8,4.77,10.91,52.47,10.63,61.01,47.64,74.01,37.91,59.18,38.69,37.05,9.34,46.24,37.24,47.2,56.52,10.82,19.74,19.57,42.35,79.48,66.82,9.09,62.75,88.46
Telex,,,20.18,14.08,38.34,53.95,18.27,51.51,83.93,62.55,13.72,13.65,4.3,39.59,12.67,7.32,29.64,80.46,90.49,79.51,87.23,58.01,49.7,9.35,89.67,27.27,22.45,34.26,9.73,66.7,13.54,77.08,53.87,24.75,50.55,55.5,51.16
Tenor Sans,,,28.16,9.93,30.19,44.98,10.41,54.59,93.82,62.8,10.41,3.72,4.24,42.02,11.47,6.35,19.81,86.87,93.3,70,90.95,56.2,36.29,9.34,85.9,25.46,13.08,9.42,15.77,79.44,21.13,85.5,46.93,8.26,61.61,52.17,49.86
Tinos,,,33.37,15.72,26.85,51.29,11.06,36.32,87.86,65.39,4.14,15.1,4.24,42.79,10.57,9.8,19.69,91.83,94.21,72.27,96.6,68.82,40.39,9.34,96.49,29.67,9.35,21.11,88.02,89.13,12.81,82.22,48.32,42.13,60.41,63.77,45.79
Tinos,700,,40.04,28.53,58.95,73.77,9.27,31.95,76.11,67.32,14.77,29.62,4.24,32.19,6.59,6.35,34.09,86.87,95.86,75.66,91.45,75.17,48.06,9.34,93.55,49.08,26.99,54.23,88.02,79.53,13.84,62.82,67.88,47.13,31.59,80.86,47.8
Titan One,,,16.67,33.24,99.38,52.39,42.89,66.12,49.58,56.7,45.85,56.57,4.24,11.02,39.11,11.86,55.22,55.27,77.44,42.95,66.16,41.89,22.94,9.3,71.79,42.79,44.46,52.48,9.95,43.14,20.36,35.06,78.21,45.91,10.01,83.96,65.84
Titillium Web,900,,16.31,25.17,68.85,33.79,72.81,65.76,47.44,53.41,45.84,51.26,4.3,9.93,36.09,6.16,38.8,58.01,73.75,35.35,75.1,53.8,30.73,9.32,42.82,40.35,27.89,59.17,9.5,42.12,6.72,36.07,76.69,41.05,10.49,60.22,57.45
Titillium Web,300,i,67.94,31.8,19.85,15.66,32.46,71.15,86.2,43.53,33.67,17.4,6.12,47.42,29.77,8.11,24.56,51.08,73.31,60.65,84.75,42.69,20.37,91.73,53.71,15.01,33.13,15.45,9.78,83.11,61.31,95.23,12.33,24.86,87.72,0,38.65
Trochut,,,44.4,57.52,43.11,58.81,37.76,48.27,84.26,66.61,36.34,54.12,4.24,54.86,35.76,14.11,50.6,64.51,84.35,65.96,85.57,51.79,42.34,9.34,57.93,58.71,48.77,41.27,77.5,72.89,38.52,81.58,48.99,82.38,55.91,64.47,38.15
Trochut,,i,75.14,72.18,48.07,66.11,36.53,27.9,78.15,71.36,46.45,48.34,4.17,53,36.14,12.45,62.05,49.09,83.86,78.66,91.62,71.61,55.41,91.67,57.82,62.51,54.83,53.23,73.98,77.97,59.73,83.49,46.52,73.11,61.19,63.75,36.88
Ubuntu,,i,72.65,44.04,46.41,64.86,24.47,28.04,79.27,70.16,32.4,22.28,4.48,46.09,36.11,6.24,51.07,65.19,92.33,80.14,89.43,71.13,56.76,91.73,91.12,48.21,36.04,28.39,9.77,78.9,50.23,82.74,49.53,28.18,50.72,58.39,53.14
Ubuntu Condensed,,,26.78,28.36,31.21,44.65,24.93,50.82,91.87,58.46,17.39,15.84,4.3,41.47,19.31,7.85,24.49,76.1,87.41,74.24,89.09,60.76,35.67,9.32,81.75,44.1,31.42,25.48,9.73,71.74,27.19,77.25,54.21,19.91,55.66,50.67,39.52
Ubuntu Mono,700,,34.52,34.94,51.97,57.31,36.4,77.3,65.55,58.78,48.49,43.69,4.45,35.04,49.35,7.54,49.76,60.32,86.15,61.38,69.09,47.91,37.29,9.34,55.98,50.66,49.07,49.65,10.2,36.19,40.17,59.91,60.51,56.77,21.34,55.58,49.36
Ubuntu Mono,,i,79.59,46.44,41.24,51.61,31.81,62.81,84.58,64.66,50.83,42.81,4.84,54.15,46.44,8.91,43.4,52.27,87.74,77.79,83.79,62.74,53.89,91.73,65.79,65.74,52.53,44.08,9.73,61.3,62.84,81.18,37.6,46.04,61.99,64.69,46.81
Voltaire,,,29.96,27.54,37.16,47.69,28.37,56.38,86.92,62.12,28.25,24.89,4.3,46.95,27.68,8.44,29.05,67.66,89.77,80.27,85.17,54.08,45.32,9.34,77.44,36.88,30.66,30.98,9.35,67.39,27.9,83.14,51.38,28.56,55,52.45,34.8
Wellfleet,,,44.35,35.76,50.69,65.39,22.05,41.76,74.54,69.75,35.51,39.52,4.3,37.59,25.47,9.87,44.84,60.25,93.14,67.04,87,68.94,49.84,9.34,84.9,49.68,33.98,55.52,80.81,78.57,23.09,54.08,71.09,62.36,36.64,67.82,61.13