name,angular,artistic,attention-grabbing,attractive,bad,boring,calm,capitals,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,monospace,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Astloch-Bold,52.11,85.05,60.92,53.88,89.3,77.42,39.81,0,65.11,78.73,91.19,80.78,37.77,100,85.87,91.41,11.12,69.04,46.85,59.48,39.27,43.01,9.28,25.57,71.88,0,96.79,46.97,5.48,40.34,79.54,62.61,41.17,71.99,49.43,53.53,37.33
BilboSwashCaps-Regular,99.25,95.5,38.84,76.65,48.81,18.6,71.61,0,82.25,62.72,77.34,83.93,64.08,51.89,81.09,85.25,42.51,75.61,72.11,83.82,69.24,63.64,91.66,36.43,86.86,0,65.15,69.58,81.28,70,78.55,80.33,26.38,80.27,78.91,43.08,21.22
SonsieOne-Regular,70.7,95.02,100,73.72,53.71,55.21,46.52,0,76.12,75.62,93.55,81.86,27.8,63.98,75.98,91.06,52.94,77.27,64.05,82.85,76.26,66.68,91.45,58.5,73.32,0,68.66,83.77,79.76,32.01,77.05,40.21,77.7,66.98,5.03,84.61,75.91
Parisienne-Regular,92.17,93.23,56.41,78.74,41.38,14.77,67.7,0,85.3,55.09,76.3,84.74,63.05,68.13,75.95,75.35,47.84,81.58,86.46,87.86,86.61,80.16,91.92,48.5,88.83,0,86.13,68.35,8.18,63.07,71.84,91.55,20.2,49.12,80.31,51.21,26.35
Damion,74.8,88.87,64.12,80.33,34.96,21.21,65.04,0,97.37,58.86,78.04,84.46,62.53,49.85,75.52,76.39,56.4,85.64,84.32,85.42,81.74,62.18,91.71,51.23,78.88,0,76.36,78.56,9.86,66.56,83.66,84.32,45.63,84.02,57.72,80.56,33.16
PressStart2P-Regular,23.42,45.51,54.64,18.53,96.2,94.52,0,0,24.27,92.68,82.39,5.7,1.71,74.9,74.96,55.23,0.52,0,0,0,2.59,0,9.3,22.37,24.24,100,55.94,52.34,83.44,0,37.68,25.15,64.26,49.53,19.6,68.83,97.66
Arizonia-Regular,87.92,91.8,52.27,78.47,56.57,22.96,70.74,0,99.47,64.54,88.3,84.38,63.41,68.37,74.6,85.48,39.09,78.44,71.23,91.93,82.73,78.43,91.27,33.13,84.75,0,78.41,66.63,13.59,66.47,100,82.53,29.95,78.41,76.43,55.71,22.2
GreatVibes-Regular,95.05,95.65,59.16,71.06,29.17,16.01,68.1,100,91.26,48.31,85.95,83.45,100,46.25,74,85.99,43.93,76.03,77.84,95.64,87.92,78.15,91.57,56.81,87,0,86.61,68.1,8.73,60.98,83.41,93.91,27.89,79.04,81.37,62.56,22.96
Orbitron-Black,48.16,50.87,64.29,60.29,70.54,70.53,42.19,0,49.66,58.87,72.2,4.3,16.14,57.06,73.85,72.14,35.06,75.09,39.11,68.43,37.32,23.54,9.34,52.37,59.59,0,56.21,58.37,10.11,58.06,29.24,30.36,76.43,67.64,15.32,63.18,66.24
JustAnotherHand-Regular,49.4,63.74,31.68,36.48,89.57,100,65.44,0,56.93,92.63,71.22,6.57,53.11,77.97,72.72,48.2,22.28,58.73,64.98,69.57,46.37,34.12,9.56,18.53,52.56,0,70.6,33.17,10.68,11.47,70.85,66.14,27.95,39.59,71.57,36.36,23.58
Redressed,45.26,81.28,51.94,66.46,21.28,31.34,78.57,0,87.74,37.64,58.67,4.47,62.13,38.78,72.69,68.66,67.3,95.2,80.13,87.94,78.76,79.35,9.4,53.6,72.16,0,69.88,55.81,13.94,70.8,56.44,87.02,41.57,81.85,63.75,71.84,32.92
AveriaSerifLibre-Italic,63.65,53.7,46.23,78.17,12.43,22.43,86.38,0,88.21,25.08,32.15,4.51,59.06,27.78,72.58,56.21,74.91,96.76,90.08,99.27,82.7,63.75,91.16,89.36,72.12,0,53.89,37.52,84.6,77.29,52.73,86.15,50.43,60.73,55.27,78.5,44.61
FingerPaint,46.92,69.95,59.26,53.82,85.01,71.96,40.65,0,52.98,100,93.54,81.1,41.87,97.24,72.49,85.08,25.99,68.83,67.91,64.43,46.01,58.98,9.18,26.98,66.14,0,100,56.9,13.15,8.44,76.4,53.41,55.11,39.12,41.31,75.28,62.97
Slackey,54.85,73.81,86.28,69.42,64.82,88.31,52.21,0,58.4,63.23,85.29,3.37,12.41,93.54,71.79,76.76,22.88,75.68,49.1,55.69,48.57,55.83,9.36,38.38,51.93,0,76.36,59.79,10.63,15.48,54.2,36.83,73.72,74.5,15.74,71.93,68.8
Bello-Pro,69.72,98.71,63.86,71.16,50.42,48.16,50.17,0,80.34,70.4,81.83,80.86,54.7,82.13,71.39,82.49,43.35,73.49,71.08,66.16,74.41,68.43,91.51,39.23,80.43,0,69.62,74.73,16.63,44.32,77.66,55.35,59.54,63.94,19.9,88.07,37.41
Orbitron-Medium,48,48.5,58.72,60.29,74.16,81.29,52.52,0,44.86,55.32,55.47,4.3,27.78,46.41,70.8,63.19,40.6,72.68,38.11,70.54,43.35,23.34,9.34,50.43,52.49,0,55.82,57.54,10.25,66.06,29.52,49.79,66.63,76.66,34.08,59.28,65.49
AveriaLibre-LightItalic,69.06,38.53,35.6,66.08,20.92,25.14,90.29,0,70.92,23.93,32.75,5.7,45.61,38.72,70.75,40.86,68.73,87.48,86.56,93.74,74.27,63.33,91.59,80.22,54.39,0,50.11,37.93,11.84,64.37,49.56,95.12,41.08,59.11,65.99,51.75,41.47
Satisfy,74.23,88.77,59.42,81.95,21.4,31.73,71.68,0,88.35,54.41,70.83,83.43,68.29,57.34,70.59,67.06,49.82,84.57,88.59,89.86,85,92.44,91.61,58.14,84.56,0,77.86,73.55,12.64,71,71.47,80.86,25.19,63.76,70.04,56.46,34.55
Asset,35.62,43.36,43.66,41.14,71.79,75.37,12.01,0,22.9,66.34,72.15,5.65,7.31,60.18,70.32,53.84,37.93,44.05,15.06,47.44,23.39,14.6,9.8,14.63,39.09,0,35.67,44.45,84.56,6.28,40.44,37.41,81.11,20.49,1.08,71.87,77.89
Frijole,23.18,70.17,70.69,77.43,86.15,53.85,9.85,0,40.67,83.92,92.11,5.57,12.42,79.71,70.3,82.89,0,58.55,52.45,53.44,1.57,33.01,9.56,33.83,64.24,0,62.13,62.75,11.44,15.83,51.71,15.33,83.62,61.54,5.97,92.49,100
Niconne-Regular,64.51,77.67,62.51,89.45,27.98,15.8,77.39,0,98.24,46.22,63.57,81.75,73.69,40.18,69.75,70.73,55.04,90.58,100,93.33,100,80.32,92.02,60.47,83.09,0,76.32,74.52,10.43,73.37,56.88,89.24,37.58,76.15,72.83,68.91,27.91
EagleLake-Regular,79.44,93.4,66.6,83.68,38.26,27.28,63.67,0,89.45,44.92,69.7,5.56,47.74,49.11,69.71,69.64,41.59,82.95,82.85,88.34,76.75,73.96,9.88,64.23,79.46,0,58.38,75.76,82.12,61.03,67.05,71.39,56.93,69.84,40.97,84.91,70.73
MarckScript-Regular,90.55,81.91,61.54,81.97,31.45,6.69,74.82,0,90.48,57.68,70.2,81.53,64.36,55.6,69.53,81.62,52.48,81.08,85.75,83.16,79,94.51,91.67,53.23,81.48,0,85.79,67.23,9.9,58.51,81.07,96.71,31.52,49.32,75.84,72.32,34.41
MervaleScript-Regular,91.34,96.78,54.7,83.87,41.71,13.42,66.94,0,93.11,56,82.48,82.34,65.23,56.92,69.25,77.86,45.15,71.26,74.93,85.06,78.43,57.2,91.98,53.17,86.57,0,89.19,72.82,13.57,77.57,87.81,78.57,33.12,79.78,68.92,62.58,21.3
Smokum-Regular,58.97,60.13,51.52,37.74,62.3,79.09,53.02,0,50.8,59.22,90.26,4.3,32.11,59.67,67.73,65.07,42.23,59.3,43.35,51.84,31.15,40.17,9.34,16.36,57.53,0,55.99,46.03,82.14,48.75,38.51,44.7,47.86,70.5,48.4,54.36,31.2
YanoneTagesschrift,33.49,61.72,58.98,76.23,42.89,58.79,53.72,0,80.51,54.27,70.76,6.9,40.67,47.71,67.1,72.61,54.01,82.77,67.49,84.22,72.86,68.05,8.97,63.12,56.97,0,65.75,58.36,79.52,56.69,42.97,61.55,58.15,66.49,29.15,92.78,54.96
AllertaStencil-Regular,41.24,37.14,56.02,55.45,36.7,45.98,64.3,0,62.27,40.46,52.85,5.15,27.04,36.89,66.97,57.3,50.91,78.85,62.77,73.47,59.45,37.62,9.34,48.85,66.88,0,46.94,54.89,8.7,50.69,26.55,60.14,58.81,78.19,40.47,69.36,63.16
PasseroOne-Regular,70.4,80.44,57.68,54.4,51.1,57.18,47.29,0,63.93,54.97,76.05,4.3,39.22,58.85,66.93,86.77,26.45,80.9,50.13,67.03,32.13,49.08,9.34,39.84,66.63,0,77.65,49.39,7.79,37.56,46.57,46.99,62.18,66.47,33.13,62.6,41.75
PlayfairDisplaySC-BoldItalic,76.59,85.87,88.87,96.85,60.62,15.01,36.02,100,77.15,54.48,91.86,81.77,40.13,50.17,66.38,91.05,29.94,78.74,73.57,84.13,65.86,78.47,91.28,48.38,100,0,71.45,100,87.91,60.65,61.21,39.96,67.42,96.92,24.86,77.03,73.52
Megrim,74.76,64.16,31.75,11.87,95.7,78.26,71.55,0,44.11,62.5,65.84,4.3,50.37,70.49,66.02,63.57,34.01,74.77,36.13,69.32,6.54,32.47,9.34,1.65,88.4,0,64.99,31.65,12.24,44.81,46.49,75.8,4,64.72,99.69,34.5,50.67
Kenia-Regular,59.49,65.73,55.04,57.36,54.36,72.82,54.89,0,64.18,69.6,75.16,5.15,44.44,71.79,65.14,72.35,33.74,67.8,48.3,58.38,59.58,23.65,9.34,19.65,70.56,0,56.28,58.31,14.26,35.51,42.07,49.52,61.37,100,27.87,67.26,40.86
AveriaSansLibre-Italic,52.05,35.44,43.08,59.94,21.16,29.89,86.25,0,68,22.8,27.33,4.35,50.17,26.25,64.85,44.57,70.85,90.16,86.26,93.2,81.12,55.82,91.55,74.33,42.07,0,51.55,38.26,9.73,75.47,49.83,85.88,50.94,56.87,61.28,67.11,43.96
BlackOpsOne-Regular,26.4,49.45,71.72,71.68,48.79,64.25,52.69,0,60.99,48.23,67.02,5.09,21.21,57.13,63.21,63.25,17.76,79.72,50.07,70.66,54.17,39.12,9.32,48.05,80.62,0,61.7,67.28,9.52,59.45,28.9,41.3,75.48,86.17,5.02,79.38,66.76
PlayfairDisplay-Italic,79.21,79.31,54.1,85.82,29.42,15.98,73.98,0,93.32,37.27,70.07,7.73,62.2,31.55,63.18,74.75,56.81,89.04,78.82,98.55,86.36,67.97,91.88,64.69,82.09,0,76.86,78.45,84.69,68.02,64.04,80.06,43.52,85.16,66.67,65.88,45.85
Ranchers-Regular,30.88,56.72,66.89,58.14,61.4,66.21,33.83,0,55.13,63.8,55.45,3.58,9.63,68.99,61.16,55.97,40.28,81.1,48.87,61.53,36.23,52.36,9.32,51.48,43.24,0,49.76,51.01,8.65,46.2,36.44,46.12,74.47,33.45,12.86,74.63,49.41
OriginalSurfer-Regular,39.99,63.81,61.73,76.13,27.44,37.71,74.68,0,73.75,50.94,40.79,3.52,45.18,41.61,60.55,76.02,49.16,94.22,76.62,90.06,69.12,77.08,9.34,81.18,58.07,0,64.06,59.08,15.16,54.48,37.84,76.9,56.76,52.59,42.53,81.31,49.99
Brevia-Regular,51.88,30.35,27.04,34.67,37.7,45.89,82.63,0,55.97,22.66,27.72,3.77,38.95,43.61,59.92,31.03,55.17,81.62,70.32,82.05,48.41,45.18,9.32,59.85,33.63,0,42.09,14.84,9.94,63.42,35.22,80.8,42.98,38.08,60.72,28.34,53.79
GentiumBasic-BoldItalic,61.59,72.9,62.9,91.46,16.13,9.31,78.41,0,97.7,28.66,55.67,4.5,60.82,26.67,59.56,57.65,79.25,94.47,82.24,91.97,86.27,85.02,91.54,87.23,80.02,0,64.68,67.31,83.05,78.64,55.79,83.38,55.09,70.17,40.42,100,40.21
KellySlab-Regular,80.89,67.17,51.32,48.57,32.72,42.82,66.8,0,73.63,49.07,67.66,4.3,45.64,35.82,59.4,53.97,55.5,83.4,60.15,86.63,65.62,45.69,9.34,66.88,68.42,0,63.58,50.04,82.98,93.57,35.73,62.91,50.19,86.05,53.43,54.81,46.63
Julee-Regular,80.55,94.74,52.31,45.36,47.67,27.45,70.16,0,74.79,70.38,68.36,3.77,50.68,61.48,58.39,74.89,6.09,79.96,72.08,75,55.9,58.74,9.79,60.28,68.93,0,81.48,51.7,16.46,62.24,74.64,84.99,31.93,75.84,63.03,47.43,35.7
Lobster,70.73,91.23,75.33,90.6,26.12,12.31,62.48,0,97.04,57.89,95.72,4.38,50.8,41.98,57.49,86.09,54.96,93.39,79.28,84.21,87.99,83.75,91.76,55.5,83.46,0,74.58,78.75,14.1,55.5,59.58,65.93,64.85,60.3,18.88,84.77,42.55
MergeOne-Regular,20.24,16.9,31.56,21.49,50.26,92.83,63.8,0,0,48.64,41.2,4.3,7.66,50.24,52.73,34.02,25.36,65.89,15.42,59.15,0.37,11.02,9.34,32.79,14.34,0,34.79,9.58,9.36,17.26,27.78,63.47,39,37.98,58.92,33.58,46.41
GentiumBasic,38.97,29.35,28.42,45.43,14.05,54.17,89.14,0,56.77,5.48,17.7,4.3,46.06,10.06,44.33,20.46,96.29,91.25,83.87,97.55,51.23,49,9.34,86.6,36.9,0,15.11,23.42,81.25,80.28,23.9,86.97,38.56,28.23,70.04,57.77,44.61
CrimsonText-BoldItalic,73.88,80.44,70.11,90.76,15.19,0,79.62,0,97.07,32.49,61.22,5.48,52.71,30.33,28.33,69.02,73.6,94.8,83.74,92.12,88.92,84.9,91.86,83.41,80.52,0,62.47,74.76,87.87,78.49,56.91,73.47,57.69,67.74,46.26,96.46,39.05
LobsterTwo-Italic,85.56,88.91,68.72,87.84,15.23,14.42,66.52,0,91.04,48.12,83.57,4.23,59.19,50.97,23.35,80.63,54.57,92.13,84.57,84.08,92.1,85.17,91.67,65.99,77.37,0,82.42,85.34,14.54,69.12,61.92,77.45,52.69,63.45,45.33,74.75,42.26
EmblemaOne-Regular,55.74,63.92,76.04,65.15,48.73,54.5,50.15,0,69.36,66.03,74.25,4.75,33.62,56.38,23.11,73.58,37.41,80.38,65.38,73.27,73.14,42.34,91.69,57.71,79.31,0,65.07,75.49,80.02,51.67,57.93,39.68,79.96,58.93,14.53,89.08,64.95
Sedan-Italic,92.26,87.07,63.52,79.74,28.97,9.25,76.24,0,96.68,42.81,70.99,76.15,61.3,44.65,21.7,78.44,63.25,90.4,84.59,95.3,86.52,100,91.71,63.5,83.78,0,70.94,77.2,80.94,72.56,86.65,84.95,37.99,67.86,67.59,70.45,36.92
Montez-Regular,65.72,87.9,47.76,67.24,49.39,31.45,73.14,0,90.27,66.21,87.03,78.94,69.08,66.59,20.11,68.06,34.57,65.1,69.93,86.89,67.92,66.56,9.9,22.86,81.23,0,66.11,53.07,11.51,60.67,60.18,100,10.32,65.09,79.23,39.6,28.62
Aldrich,51.45,47.92,49,55.46,45.09,57.87,71.5,100,54.2,39.68,49.96,4.3,32.45,39.29,19.01,57.03,48.39,81.9,55.58,72.9,56.07,38.71,9.34,75.43,64.51,0,45.33,42.03,9.89,76.56,31.8,58.85,57.54,51.82,42.38,60.46,53.2
ClickerScript-Regular,69.03,78.92,47.78,50.53,64.01,32.94,71.84,0,74.63,59.21,90.12,82.91,69.57,83.53,18.44,83.98,37.05,73.08,75.5,82.77,63.87,64.25,91.25,32.33,71.52,0,72.15,58.32,10.7,58.78,74.04,91.53,6.72,54.41,87.1,46.63,21.88
StardosStencil-Bold,41.25,42.29,66.84,77.41,30.67,40.96,64.26,0,72.75,28.83,55.68,5.09,35.37,33.53,17.56,53.77,68.96,85.99,77.63,86.25,73.39,51.52,9.35,77.1,65.45,0,46.55,55.79,75.96,47.86,19.11,43.65,64.39,65.05,31.44,75.97,56.59
Lora-BoldItalic,59.18,61.68,70.85,94.48,13.97,11.05,70.08,0,90.42,28.94,56.94,4.29,49.37,30.66,16.36,74.55,71.57,97.08,83.45,87.76,85.06,83.65,91.65,89.19,85.63,0,65.59,77.08,87.14,66.41,49.59,67.67,69.42,60.99,33.07,89.38,51.77
Marvel-BoldItalic,65.26,38.1,30.1,40.21,33.58,63.01,87.2,0,57.05,22.18,36.64,4.23,43.38,31.4,16.24,35.75,65.24,80.19,72.44,88.31,47.39,43.45,91.73,75.22,44.66,0,41.3,17.28,10.08,76.77,55.47,87.47,37.6,19.9,69.57,41.04,31.98
Iceland-Regular,59.39,54.52,34.53,41.22,45.61,61.12,71.76,0,56.7,29.43,45.09,6,41.65,25.5,16.03,52.64,47.39,82,61.83,89.47,45.9,37.66,9.37,61.6,61.54,0,55.62,53.98,14.12,80,33.4,81.58,35.87,65.11,71.7,37.18,40.62
Cardo-Italic,100,71.97,54.74,79.39,19.34,20.38,87.24,0,87.49,24.5,41.74,4.51,77.43,33.69,16,57.48,61.38,87.61,84.16,97.85,82,86.43,91.71,83.8,73.82,0,56.46,45.73,82.96,100,53.82,88.18,40.26,61.36,78.09,64.49,39.36
JosefinSans-SemiBoldItalic,65.64,38.31,24.33,39.33,20.24,46.92,86.93,0,65.89,28.87,21.13,4.23,53.17,40.58,15.56,38.22,58.4,84.23,74.77,93.67,44.17,41.39,91.67,62.84,38.54,0,45.18,21.04,8.38,85.92,39.49,92.98,31.3,24.32,76.2,52.31,38.28
NovaRound,37.87,40.85,48.42,52.44,36.05,53.86,78.45,0,67.1,37.91,42.95,4.3,46.12,44.81,15.52,56.48,63.86,83.38,67.4,82.03,66.72,54.93,9.34,72.88,34.07,0,48.64,37.51,6.69,60.21,36.04,78.08,51.52,43.77,52.62,63.82,49.12
BowlbyOneSC-Regular,19.19,24.66,81.98,50.32,58.45,76.97,41.21,0,56.37,44.98,48.59,4.45,5.52,29.51,14.57,49.56,52.35,69.97,42.75,69.4,35.95,37.7,9.32,67.01,18.72,0,21.7,62.19,8.76,57.19,21.15,0,100,68.27,7.79,72.17,78.1
SigmarOne,41.02,36.93,85.92,45.45,56.69,75.85,37.49,100,55.89,45.94,64.11,4.31,0,52.22,14.44,55.78,33.83,70.3,58.22,63.5,26.04,19.75,9.3,60.71,38.84,0,38.17,58.07,17.12,39.22,22.21,22.27,90.54,48.98,9.36,72.57,73.43
Oswald-Regular,35.55,17.86,54.5,56.65,30.59,44.92,67.21,0,56.37,34.4,36.31,4.3,37.28,23.81,14.35,21.77,65.8,85.78,65.06,77.24,50.45,40.33,9.34,79.04,48.39,0,21.85,49.8,9.06,71.65,18.55,59.53,69.83,56,33.24,68.61,40.26
Trochut,44.4,57.52,43.11,58.81,37.76,48.27,84.26,100,66.61,36.34,54.12,4.24,54.86,35.76,14.11,50.6,64.51,84.35,65.96,85.57,51.79,42.34,9.34,57.93,58.71,0,48.77,41.27,77.5,72.89,38.52,81.58,48.99,82.38,55.91,64.47,38.15
Rosarivo-Italic,84.26,74.72,52.98,71.88,22.2,12.87,85.16,0,88.75,33.81,51.17,5.9,64.92,35.57,13.56,69.29,77.63,88.24,84.88,95.36,75.82,65.92,91.66,80.33,63.01,0,68.17,61.81,84.08,91.64,50.55,86.15,43.15,69.51,65.99,67.05,45.24
Rationale-Regular,43.45,47.07,30.46,38.25,50.22,61.49,70.29,0,39.09,36.64,39.21,4.3,41.99,27.84,13.48,47.04,63.49,79.9,62.88,85.01,48.6,21.46,9.34,48.85,62.32,0,37.35,22.89,10.01,73.17,28.84,71.33,43.22,69.1,61.38,51.7,37.23
Sacramento-Regular,63,79.3,36.88,75.53,43,26.87,72.95,0,71.82,75.78,82.69,83.99,59.57,72.53,13.39,69.53,34.05,82.54,68.49,86.51,70.8,63,91.51,25.55,75.42,0,89.17,49.81,10.47,49.4,60.92,86.07,4.79,68.54,92.66,59.47,23.09
IM_FELL_English_Roman,38.37,38.36,44.39,64.01,18.93,42.79,76.62,0,74.77,13.98,34.31,5.11,49.57,11.09,13.24,41.42,77.34,88.59,79.31,94.37,66.48,51.35,8.93,84.62,50.66,0,36.3,25.69,81.49,84.61,31.94,75.56,55.49,36.14,54.44,56.75,43.86
